No,Text_Clause,Label,Category,Shariah_Justification (Academic Standard)
176,"""The contract involves a swap where the customer pays a fixed interest and receives a floating rate.""",0,Shariah_Concept,Non-Compliant: Derivatives based on Usury (Riba) are prohibited in Islamic finance.
177,"""Ibra' is the waiver of the Bank's right to the remaining profit upon early settlement.""",1,Rebate,"Adheres to the principle of Ibra', promoting justice and reducing the burden on the debtor."
178,"""The lender takes a 50% share of the business profit but takes zero responsibility for capital loss.""",0,Profit_Interest,Non-Compliant: Violates the Risk-Sharing principle (Al-Ghurm bi al-Ghunm) in partnership.
179,"""The Bank will issue a Letter of Offer detailing the terms and conditions of the financing.""",1,Admin_Info,Promotes transparency and reduces Uncertainty (Gharar) for the customer before signing.
180,"""The loan agreement is subject to 'Penalty Interest' that compounds daily until paid.""",0,Late_Payment,Non-Compliant: Application of Compound Usury (Riba al-Jahiliyyah) on overdue debt.
181,"""Monthly payments will vary according to changes in the Base Rate Islamic (BRI).""",1,Profit_Interest,Compliant use of a transparent and regulated Shariah benchmark for variable profit.
182,"""The contract involves the sale of fish in the sea that have not been caught yet.""",0,Shariah_Concept,Non-Compliant: Excessive Uncertainty (Gharar) as the seller cannot guarantee delivery.
183,"""You may exercise the option to purchase the property at a price to be agreed upon later.""",1,Shariah_Concept,Compliant with Ijarah where the purchase is a separate future promise (Wa'd).
184,"""The bank will charge interest even if the property is uninhabitable due to structural failure.""",0,Risks,Non-Compliant: Charging for a lease without a usable asset violates the principle of Justice.
185,"""The Bank shall act as your agent to sell the commodities to the Commodity Purchaser for cash.""",1,Shariah_Concept,Final step of Tawarruq to provide the customer with liquid funds through a valid sale.
186,"""Proceeds from this financing will be used to purchase shares in a commercial casino.""",0,Prohibited_Activity,Non-Compliant: Funding Gambling (Maysir) operations is strictly prohibited.
187,"""Total Profit is derived from the difference between the Sale Price and the Purchase Price.""",1,Profit_Interest,"Compliant as the income is generated from Trade (Murabahah), not a loan with interest."
188,"""The borrower must pay a commission to the bank's CEO for the loan approval.""",0,Fees_Charges,Non-Compliant: Bribes or unethical commissions are prohibited and can lead to Uncertainty.
189,"""The SBR is a benchmark rate to be used for new floating-rate financing.""",1,Profit_Interest,Compliant use of the Standardised Base Rate as mandated by Bank Negara Malaysia.
190,"""The agreement allows for a 'lottery draw' to determine who has to pay higher interest.""",0,Prohibited_Activity,Non-Compliant: Directly incorporates Gambling (Maysir) into the debt terms.
191,"""Hibah is a gift from the Bank to you and it is not a part of the contract.""",1,Shariah_Concept,"Compliant use of Hibah as a discretionary gift, ensuring it is not a pre-conditioned return."
192,"""The contract involves trading debt for a specific amount of gold to be delivered next year.""",0,Shariah_Concept,Non-Compliant: Trading debt for a ribawi item is a form of Usury (Riba).
193,"""The Bank reserves the right to set-off your credit balance against your overdue financing.""",1,Risks,Compliant administrative right of the bank to recover debt from the debtor's assets.
194,"""The bank will charge an 'inflation adjustment' fee on the principal amount every year.""",0,Profit_Interest,Non-Compliant: Inflation indexing of debt principal is generally seen as a form of Usury (Riba).
195,"""The customer may appoint a third party to perform the commodity trading.""",1,Shariah_Concept,"Compliant use of Wakalah, allowing for a separation between the financier and the agent."
196,"""The bank takes a 10% fee for 'handling' a loan that was never disbursed.""",0,Fees_Charges,Non-Compliant: Charging for a service not rendered is a form of Uncertainty (Gharar).
197,"""Your property may be foreclosed if you do not keep up with your payments.""",1,Risks,Compliant warning regarding Collateral (Rahn) in a secured financing arrangement.
198,"""The financing involves the purchase of liquor and its distribution to retail outlets.""",0,Prohibited_Activity,Non-Compliant: Financing Haraam trade is against Shariah Ethical Standards.
199,"""The Effective Profit Rate (EPR) will not exceed the Ceiling Profit Rate (CPR).""",1,Profit_Interest,"Compliant protection for the customer against excessive price hikes, reducing Uncertainty."
200,"""The contract involves the sale of a box whose contents are unknown to the buyer.""",0,General_Principles,Non-Compliant: Presence of Uncertainty (Gharar) regarding the subject matter of the sale.
201,"""The Bank purchases the commodity at the Purchase Price and sells it to you at the Sale Price.""",1,Shariah_Concept,"Compliant via Murabahah (cost-plus sale), where profit is derived from trade, not a loan."
202,"""The interest rate will be adjusted based on the lender's internal profit targets without a cap.""",0,Profit_Interest,Non-Compliant: Excessive Uncertainty (Gharar) and potential for exploitative Usury (Riba).
203,"""Under HouzKEY, the Bank pays for the cost of property insurance (Takaful) and quit rent.""",1,Shariah_Concept,Adheres to Ijarah principles where the owner (Bank) is responsible for ownership costs.
204,"""The borrower must pay a fee to 'lock-in' a lower interest rate for the duration of the loan.""",0,Fees_Charges,Non-Compliant: Selling a rate reduction is a form of Usury (Riba) on a debt contract.
205,"""Ta'widh (compensation) is only charged if the customer is found to be in default of payment.""",1,Late_Payment,Compliant as Ta'widh is a legitimate charge for actual loss incurred by the financier.
206,"""The contract is based on the sale of crops that may or may not be harvested due to weather.""",0,Shariah_Concept,Non-Compliant: Involves excessive Uncertainty (Gharar) regarding the delivery of the asset.
207,"""Ibra' is given as a gift from the Bank to the customer for early settlement of the debt.""",1,Rebate,Compliant use of Ibra' (rebate) which is at the discretion of the creditor to waive their right.
208,"""The bank will charge interest on the total amount of late payment fees accumulated.""",0,Late_Payment,Non-Compliant: Practice of Interest-on-Interest which constitutes prohibited Usury (Riba).
209,"""The customer acts as the Bank's agent to identify and purchase the specified commodity.""",1,Shariah_Concept,Compliant use of Wakalah (agency) to facilitate the asset acquisition stage in Tawarruq.
210,"""The financing is used to acquire shares in a company that operates casino cruises.""",0,Prohibited_Activity,Non-Compliant: Direct investment in Gambling (Maysir) activities is strictly prohibited.
211,"""The Bank's Sale Price consists of the asset cost and the bank's agreed profit margin.""",1,Price_Structure,Compliant as the price and profit are fixed and transparent at the time of contract.
212,"""The agreement allows the bank to change the subject of the sale after the deposit is paid.""",0,General_Principles,Non-Compliant: Introduces Uncertainty (Gharar) regarding the subject matter of the contract.
213,"""Late payment (Ta`widh) rate is 1% per annum or as determined by Bank Negara Malaysia.""",1,Late_Payment,"Compliant as the rate is regulated and based on actual loss compensation, not bank profit."
214,"""The interest on the loan will be waived if the borrower's favorite team wins the league.""",0,Profit_Interest,Non-Compliant: Linking financial terms to random outcomes involves Gambling (Maysir).
215,"""The Bank provides a Letter of Offer that outlines the Ceiling Profit Rate for the facility.""",1,Admin_Info,Promotes transparency and eliminates Uncertainty (Gharar) for the consumer.
216,"""The contract involves the exchange of debt for a future delivery of silver at a discount.""",0,Shariah_Concept,Non-Compliant: Discounting debt or trading it for ribawi items is a form of Usury (Riba).
217,"""The customer may request to terminate the Ijarah lease by giving written notice to the Bank.""",1,Shariah_Concept,Compliant with Ijarah rules regarding the termination of a lease agreement by the lessee.
218,"""The bank guarantees a 12% return on a venture that involves trading prohibited items.""",0,Prohibited_Activity,Non-Compliant: Combines guaranteed returns (Usury) with investment in Haraam trade.
219,"""Under Tawarruq, the Bank sells the commodity to the customer on a deferred payment basis.""",1,Shariah_Concept,Valid stage in Tawarruq to create a debt obligation based on an actual asset trade.
220,"""The monthly repayment increases automatically if the borrower remains unemployed.""",0,Late_Payment,Non-Compliant: Exploitative and contrary to the Shariah principle of Respite (Inzar) for debtors.
221,"""Total Profit is the amount you pay in excess of the Purchase Price over the tenure.""",1,Profit_Interest,"Compliant as the 'profit' is a fixed margin from a sale, not interest on a money loan."
222,"""The agreement includes a clause where the price of the house is hidden from the buyer.""",0,Price_Structure,"Non-Compliant: Presence of Uncertainty (Gharar) in the price, which is a pillar of the contract."
223,"""Hibah (gift) may be granted by the Bank to customers who maintain an active account.""",1,Shariah_Concept,Compliant use of Hibah as a discretionary gift to encourage customer loyalty.
224,"""The contract involves a bet on the price of oil reaching $100 per barrel by next year.""",0,Prohibited_Activity,Non-Compliant: Purely speculative behavior that constitutes Gambling (Maysir).
225,"""The Bank will inform the customer of any change in the Standardised Base Rate (SBR).""",1,Admin_Info,Ensures transparency and avoids Uncertainty (Gharar) regarding the monthly installments.
226,"""Compound charges will be imposed on overdue interest and principal amounts.""",0,Late_Payment,Non-Compliant: Direct application of Compound Usury (Riba al-Jahiliyyah).
227,"""The property is used as collateral (Rahn) for the financing provided by the Bank.""",1,Risks,Compliant use of Rahn (Pledge) to secure the debt generated from a trade transaction.
228,"""The financing will be used to fund the production of films that promote immoral activities.""",0,Prohibited_Activity,Non-Compliant: Financing activities that contradict Shariah Ethical Principles.
229,"""The SBR is a transparent benchmark linked to the Overnight Policy Rate (OPR).""",1,Profit_Interest,"Compliant as the benchmark is public, regulated, and used to calculate profit fairly."
230,"""The agreement allows the bank to change the profit margin unilaterally after signing.""",0,Price_Structure,Non-Compliant: Introduces Uncertainty (Gharar) and violates the fixed-price rule in Murabahah.
231,"""Hibah is a voluntary gift and is not a contractual obligation of the Bank.""",1,Shariah_Concept,"Compliant as the gift is not guaranteed, avoiding it being seen as a form of Riba."
232,"""The lender will charge an 'opportunity cost' fee for every month the loan is not paid.""",0,Profit_Interest,Non-Compliant: Charging for 'time' or 'opportunity' on a debt is a form of Usury (Riba).
233,"""The Bank acts as your agent to sell the commodities to a third party for cash.""",1,Shariah_Concept,Valid use of Wakalah (Agency) to complete the Tawarruq cycle and provide liquidity.
234,"""The contract involves selling a property that is currently under a legal dispute.""",0,Shariah_Concept,Non-Compliant: High degree of Uncertainty (Gharar) regarding the delivery of the asset.
235,"""The PDS provides a summary of the key features and risks of the financing product.""",1,Admin_Info,Promotes Information Symmetry and reduces Uncertainty for the customer.
236,"""The bank will charge interest even if the customer is unable to pay due to a disaster.""",0,Late_Payment,Non-Compliant: Exploitative Usury (Riba) that ignores the Shariah duty of compassion.
237,"""HouzKEY is based on the Shariah contract of Ijarah Muntahiyah Bi Tamlik.""",1,Shariah_Concept,Compliant lease-to-own arrangement recognized by the Shariah Advisory Council.
238,"""The financing involves the purchase of specialized equipment for a brewery.""",0,Prohibited_Activity,Non-Compliant: Facilitating the production of Haraam items (liquor) is prohibited.
239,"""Total Sale Price is fixed at the point of signing the Murabahah agreement.""",1,Price_Structure,"Compliant as it ensures price certainty, a requirement for a valid Shariah sale."
240,"""The lender takes a share of the borrower's total salary as an interest payment.""",0,Profit_Interest,Non-Compliant: Direct charging of Usury (Riba) on a personal loan.
241,"""The Bank shall inform you of any revisions to the monthly payment amount.""",1,Admin_Info,Promotes transparency and allows the customer to plan for their financial obligations.
242,"""The contract involves a swap of 1kg of silver today for 1.5kg of silver next month.""",0,Shariah_Concept,Non-Compliant: Involves Riba al-Fadl (Usury of surplus) in ribawi exchanges.
243,"""The customer may choose to purchase the property at any time during the lease.""",1,Shariah_Concept,Compliant feature of Ijarah which allows for early ownership transfer via sale.
244,"""The bank takes zero risk and guarantees its profit even if the asset is lost.""",0,Risks,Non-Compliant: Violates the Risk-Sharing principle where profit is tied to liability.
245,"""Commodity transaction will be performed using Bursa Suq Al-Sila' platform.""",1,Shariah_Concept,"Ensures the Tawarruq trade is real, documented, and performed on a compliant platform."
246,"""The interest rate on the loan is 15% but is called a 'service fee' in the contract.""",0,Fees_Charges,Non-Compliant: Mislabeling Usury (Riba) as a fee does not make it compliant.
247,"""The Bank's BRI is subject to change according to the OPR set by BNM.""",1,Profit_Interest,Compliant use of a standardized benchmark to determine variable profit rates.
248,"""Investment in a fund that specifically targets conventional pig farming operations.""",0,Prohibited_Activity,Non-Compliant: Investment in Haraam industries violates Shariah Ethical Screening.
249,"""The Effective Profit Rate (EPR) will be lower than the Ceiling Profit Rate (CPR).""",1,Profit_Interest,Compliant adjustment where the bank gives a rebate (Ibra') to match market rates.
250,"""The agreement is signed without the buyer knowing what they are purchasing.""",0,General_Principles,Non-Compliant: Excessive Uncertainty (Gharar) regarding the subject of the sale.
251,"""The Bank as your agent shall purchase the commodities from the supplier at the Purchase Price.""",1,Shariah_Concept,Compliant via Wakalah (agency) for commodity execution in Tawarruq.
252,"""The customer shall pay a non-refundable commitment fee which will be forfeited upon cancellation.""",0,Fees_Charges,Non-Compliant: Elements of Uncertainty (Gharar) and unfair enrichment without counter-value.
253,"""The Bank remains the legal owner of the property throughout the duration of the HouzKEY lease.""",1,Shariah_Concept,Adheres to Ijarah principles where the lessor (Bank) maintains ownership and associated risks.
254,"""The interest rate on this loan is calculated using the Rule of 78s method.""",0,Profit_Interest,Non-Compliant: Uses a conventional accounting method to front-load Usury (Riba).
255,"""Ibra’ is the difference between the Ceiling Profit Rate and the Effective Profit Rate.""",1,Rebate,Compliant as the bank provides a rebate (Ibra') when the market rate is lower than the capped price.
256,"""The Bank may increase the interest rate if the customer's credit rating drops.""",0,Profit_Interest,Non-Compliant: Unilateral increase of Usury (Riba) based on credit risk without trade justification.
257,"""Takaful protection is mandatory to cover the outstanding financing amount in case of death.""",1,Insurance_Takaful,Compliant as it utilizes Takaful (mutual cooperation) instead of conventional interest-based insurance.
258,"""This policy covers losses arising from illegal gambling operations.""",0,Prohibited_Activity,Non-Compliant: Directly supports Gambling (Maysir) activities which are prohibited.
259,"""Any dispute shall be referred to the Shariah Advisory Council of Bank Negara Malaysia.""",1,General_Principles,Adheres to the Shariah Governance Framework for authoritative resolution of compliance issues.
260,"""The loan agreement is subject to a late payment interest fee that compounds monthly.""",0,Late_Payment,Non-Compliant: Presence of Compound Usury (Riba al-Jahiliyyah) on overdue payments.
261,"""The customer purchases the commodities from the Bank on Murabahah basis at the Selling Price.""",1,Shariah_Concept,"Compliant through Murabahah (cost-plus-profit) sale, where the profit margin is known."
262,"""Selling price is subject to change at the bank's discretion without clear parameters.""",0,Price_Structure,"Non-Compliant: Contains Uncertainty (Gharar) regarding the price, a key pillar of a sale contract."
263,"""The Bank shall act as your agent to sell the commodities to a third-party purchaser.""",1,Shariah_Concept,Compliant use of Wakalah for the sale of assets in a Tawarruq arrangement.
264,"""This transaction involves the exchange of debt for debt (bay' al-kali' bi al-kali').""",0,Shariah_Concept,Non-Compliant: Violates the Shariah prohibition on the exchange of future debts.
265,"""The Bank shall inform the customer of the amount of Ta’widh charged upon default.""",1,Late_Payment,Compliant as it ensures transparency in charging Ta'widh for actual loss compensation.
266,"""Interest is charged on the total outstanding amount including unpaid interest.""",0,Profit_Interest,Non-Compliant: Practice of Usury (Riba) involving interest on interest.
267,"""The customer may exercise the Option to Purchase the property at the end of the lease.""",1,Shariah_Concept,Adheres to Ijarah Muntahiyah Bi Tamlik which concludes with a transfer of ownership.
268,"""Profit margin is guaranteed regardless of market performance or risk-sharing.""",0,Profit_Interest,Non-Compliant: Violates the Risk-Sharing principle where profit must be linked to risk/trade.
269,"""Commodity transaction shall be performed daily on an approved trading platform.""",1,Shariah_Concept,Ensures the Tawarruq process involves real Shariah-compliant assets and actual trade.
270,"""The contract includes a condition that the customer must provide a loan to the bank.""",0,Shariah_Concept,Non-Compliant: Prohibited combination of a sale and a loan (Bay' wa Salaf).
271,"""The Bank will provide you with a copy of the PDS for your Baiti Home Financing.""",1,Admin_Info,Compliant with transparency requirements under the Shariah Governance Framework.
272,"""This product finances the construction of a casino and hotel complex.""",0,Prohibited_Activity,Non-Compliant: Funding of Gambling (Maysir) facilities is strictly prohibited.
273,"""Ibra’ calculation: (Settlement Amount - Outstanding Sale Price) + Accrued Profit.""",1,Rebate,Adheres to the standardized formula for Ibra' as regulated by Bank Negara Malaysia.
274,"""Price is based on the future unknown value of a speculative index.""",0,Price_Structure,Non-Compliant: Excessive Uncertainty (Gharar) in the determination of price.
275,"""Proceeds from the transaction will be disbursed for the purpose of refinancing.""",1,Shariah_Concept,Compliant use of Tawarruq for debt restructuring or property refinancing.
276,"""The loan involves a pre-signed agreement to sell back the asset at a lower price.""",0,Shariah_Concept,Non-Compliant: Involves Bay' al-'Inah (buy-back sale) which is used to circumvent Usury rules.
277,"""You are required to take up a Mortgage Reducing Term Takaful (MRTT).""",1,Insurance_Takaful,Adheres to Shariah requirements by using Takaful for risk mitigation.
278,"""The bank will charge an additional fee for the 'time-value' of the money lent.""",0,Profit_Interest,Non-Compliant: Explicit charging of Usury (Riba) for the passage of time.
279,"""The Ceiling Profit Rate acts as a cap to protect the customer from rate fluctuations.""",1,Profit_Interest,Compliant mechanism to ensure fairness and reduce Uncertainty (Gharar) for the customer.
280,"""Default in payment may result in your property being foreclosed by the Bank.""",1,Risks,Compliant as the bank has the right to collateral in a secured Murabahah transaction.
281,"""Investment is made in a fund that deals with conventional treasury bonds.""",0,Shariah_Concept,Non-Compliant: Investment in interest-bearing instruments involves Usury (Riba).
282,"""Gharamah (penalty) shall be distributed by the Bank to charitable organizations.""",1,Late_Payment,Compliant with Shariah as the penalty does not contribute to the bank's profit.
283,"""The asset being sold does not exist and cannot be delivered.""",0,Shariah_Concept,Non-Compliant: Sale of non-existent assets involves Uncertainty (Gharar).
284,"""This PDS provides you with key information on your Wahdah Home Refinancing.""",1,Admin_Info,Promotes transparency and avoids Uncertainty (Gharar) regarding product terms.
285,"""The contract includes hidden charges not disclosed during the signing.""",0,Fees_Charges,Non-Compliant: Presence of Uncertainty (Gharar) and lack of transparency in pricing.
286,"""Total Profit is based on the Ceiling Profit Rate of 10.25% p.a.""",1,Profit_Interest,Compliant as the total profit is capped and agreed upon at the start of the contract.
287,"""The loan balance will be reduced by a lottery draw held once a year.""",0,Prohibited_Activity,Non-Compliant: Incorporates elements of Gambling (Maysir) in debt settlement.
288,"""The Bank's BRI or SBRI may change by giving at least 21 calendar days notice.""",1,Admin_Info,Compliant with regulatory notice periods to ensure transparency for the customer.
289,"""Penalty interest will be charged if the property is not insured by a conventional insurer.""",0,Insurance_Takaful,Non-Compliant: Compelling the use of interest-based insurance and charging Usury (Riba).
290,"""Hibah of the Takaful benefits can be made to your named nominees.""",1,Shariah_Concept,Compliant use of Hibah (gift) for the distribution of Takaful benefits.
291,"""The selling price is indexed to the price of gold in a separate future contract.""",0,Shariah_Concept,Non-Compliant: Complex contracting leading to Uncertainty (Gharar) and potential speculation.
292,"""The customer shall pay the Bank the Sale Price through monthly installments.""",1,Profit_Interest,Compliant deferred payment structure (Bai' Bithaman Ajil) in Islamic financing.
293,"""The loan is subject to an annual fee for maintaining the 'interest-free' status.""",0,Fees_Charges,Non-Compliant: Fees that scale with loan size or duration are often disguised Usury (Riba).
294,"""The Bank shall inform you of any revisions to the monthly payment amount.""",1,Admin_Info,"Ensures transparency, helping the customer avoid Uncertainty (Gharar)."
295,"""Transaction involves investment in pork meat producing companies.""",0,Prohibited_Activity,Non-Compliant: Investment in Haraam industries violates Shariah Ethical Screening.
296,"""The Bank may exercise its right to set-off any credit balance in your account.""",1,Risks,Compliant administrative right for debt recovery under the Shariah Governance Framework.
297,"""The agreement is signed without the buyer knowing the total cost of the asset.""",0,Price_Structure,Non-Compliant: Excessive Uncertainty (Gharar) regarding the price.
298,"""Effective Profit Rate is lower than or equal to the Ceiling Profit Rate.""",1,Profit_Interest,Compliant adjustment mechanism ensuring the customer benefits from Ibra'.
299,"""The lender takes a commission for every year the principal remains unpaid.""",0,Profit_Interest,Non-Compliant: Periodic commissions on principal are a form of Usury (Riba).
300,"""The Bank will provide you with a Product Disclosure Sheet (PDS).""",1,Admin_Info,Compliant with BNM standards for consumer protection and transparency.
301,"""The bank takes zero risk and guarantees profit even if the asset is destroyed.""",0,Risks,Non-Compliant: Violates the Risk-Sharing principle where profit is tied to liability.
302,"""The contract follows the Shariah concept of Musyarakah Mutanaqisah.""",1,Shariah_Concept,Compliant via a Diminishing Partnership model for property financing.
